theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
26.53,8.17013942,5.4245117028916e-11,3.438500369776747,0.5988347937596283,11.32,-2.74
26.53,8.776242719,3.101283878644e-11,3.9722099226907273,0.44421582300968326,11.32,-2.74
26.53,9.427309902,1.4620777340301002e-11,4.528328040132794,0.3128676479018986,11.32,-2.74
26.53,10.12667662,1.2592747517469e-11,4.564917982894409,0.31533866133106764,11.32,-2.74
26.53,10.877926,1.8672536661720003e-11,4.191428013422945,0.3862884821506388,11.32,-2.74
26.53,11.68490694,2.8323380569605e-11,3.707799856442821,0.5061479739028767,11.32,-2.74
26.53,12.55175392,3.7578802668672e-11,3.27579176299347,0.6334920678067844,11.32,-2.74
26.53,13.48290809,2.1398948422729e-11,3.2064416730493415,0.6652710935367372,11.32,-2.74
26.53,14.48314011,1.402312609224e-11,3.278843292692041,0.6293253893360016,11.32,-2.74
26.53,15.55757453,1.0562209122244999e-11,3.490281966076807,0.5664461623485102,11.32,-2.74
26.53,16.71171607,8.092215797208e-12,3.773260598693326,0.4784957153609471,11.32,-2.74
